Title,Year,"Venue
(See Abbr -> Col-Q)",Paper URL,Feature Attribution (FIM),Probing (PRB),Tuple/Graph (TUP),Space Map (SPM),Rule/Grammar (RUL),Free Text (FRT),Concept/Sense (CPT),Example (EXP),Trigger (TRG),Word Cloud (WCL),Images (IMG),Confidence Score (CFD)
""" Why should I trust you?"" Explaining the predictions of any classifier",2016,KDD,https://arxiv.org/pdf/1602.04938.pdf,"Visualize: Figure 2.
Description: ""Explaining individual predictions of competing classifiers trying to determine if a document
is about “Christianity” or “Atheism”. The bar chart
represents the importance given to the most relevant words, also highlighted in the text. Color indicates which class the word contributes to (green for
“Christianity”, magenta for “Atheism”).""",,,,,,,,,,,
A causal framework for explaining the predictions of black-box sequence-to-sequence models,2017,EMNLP,https://arxiv.org/pdf/1707.01943.pdf,"Visualize: Figure 3 & 4 & 7.
Description: ""Explanations for the predictions of three
Black-Box translators: Azure (top), NMT (middle) and human (bottom). Note that the rows and
columns of the heatmaps are permuted to show explanation chunks (clusters).""",,"Visualize: Figure 8 & 6 & 3 & 4.
Description: ""Explanations for biased translations of similar gender-neutral English sentences into French
generated with Azure’s MT service. The first two require gender declination in the target (French) language, while the third one, in plural, does not. The dependencies in the first two shed light on the cause of the biased selection of gender in the output sentence.""",,,,,,,,,
A Diagnostic Study of Explainability Techniques for Text Classification,2020,EMNLP,https://arxiv.org/pdf/2009.13295.pdf,"Visualize: Figure1.
Description: ""Example of the saliency scores for the words
(columns) of an instance from the Twitter Sentiment
Extraction dataset. They are produced by the explainability techniques (rows) given a Transformer model. The first row is the human annotation of the salient words.""",,,,,,,,,,,
"A Meaning-based English Math Word Problem Solver with Understanding, Reasoning and Explanation",2016,COLING,https://www.aclweb.org/anthology/C16-2032.pdf,,,,,"Visualize: Figure2 & 3.
Description: ""Logic form and logic inference. The generated explanation
 of a Sum operation tree and explanation text.""","Visualize: Figure3.
Description: ""The generated explanation
 of a Sum operation tree and explanation text"".",,,,,,
A primer in bertology: What we know about how bert works,2020,TACL,https://arxiv.org/pdf/2002.12327.pdf,"Visualiize: Figure 1 & 3.
Description:  ""Attention patterns in BERT.""
",,"Visualize: Figure 1.
Description: ""Parameter-free"" probe for syntactic knowledge: words sharing syntactic subtrees have larger impact on each other in the MLM prediction.",,,,,,,,,
A Shared Attention Mechanism for Interpretation of Neural Automatic Post-Editing Systems,2018,ACL,https://www.aclweb.org/anthology/W18-2702.pdf,"Visualize: Figure 1 & 2 & 3 & 4.
Description: "" we propose a neural APE system that encodes
the source (src) and machine translated (mt) sentences with two separate encoders, but leverages a shared attention mechanism to better understand how the two inputs contribute to the generation of the post-edited (pe) sentences.""",,,,,,,,,,,
A structural probe for finding syntax in word representations,2019,NAACL,https://www.aclweb.org/anthology/N19-1419.pdf,,,"Visualize:Figure 2.
Description: "" testing whether a neural network embeds each sentence’s dependency parse tree in its contextual word representations – a structural hypothesis.
""Under a reasonable definition, to embed a graph is to learn a vector representation of each node such that geometry in the vector space—distances and norms—
approximates geometry in the graph""",,,,,,,,,
A Survey of the State of Explainable AI for Natural Language Processing,2020,AACL-IJCNLP,https://arxiv.org/pdf/2010.00711.pdf,"Visualize: Figure1 
Description: Saliancy heatmap / Saliancy highlighting.",,,,"Visualize: Figure1.
Description: ""(c) Raw declarative rules; (d) raw declarative program.""","Visualize: Figure1 & 2.
Description: ""(e) Raw examples"".",,,,,,
Allennlp interpret: A framework for explaining predictions of nlp models,2019,EMNLP,https://www.aclweb.org/anthology/D19-3002.pdf,"Visualize: Figure 1 & 2 & 3.
Description: ""An interpretation generated using AllenNLP
Interpret for NER. The model predicts three tags for an
input (top). We interpret each tag separately, e.g., input
reduction (bottom) removes as many
words as possible without changing a tag’s prediction.
Input reduction shows that the words “named”, “at”,
and “in downtown” are sufficient to predict the People, Organization, and Location tags, respectively..""",,,,"Visualize: Figure1.
Description: ""An interpretation generated using AllenNLP
Interpret for NER. The model predicts three tags for an
input (top). We interpret each tag separately"".",,,,,,,
An Information Bottleneck Approach for Controlling Conciseness in Rationale Extraction,2020,EMNLP,https://arxiv.org/pdf/2005.00652.pdf,"Visualize: Figure1 & Table3.
Description: ""Our Information Bottleneck-based approach
extracts concise rationales that are minimally informative about the original input, and maximally informative about the label through fine-grained control of sparsity in the bottleneck""",,,,,,,,,,,
An Interpretable Knowledge Transfer Model for Knowledge Base Completion,2017,ACL,https://www.aclweb.org/anthology/P17-1088.pdf,,,,,,,"Visualize: Figure 3 & 4.
Description: ""we propose a knowledge embedding
model which can discover shared hidden concepts,
and design a learning algorithm to induce the interpretable sparse representation""",,,,,
An Interpretable Reasoning Network for Multi-Relation Question Answering,2018,COLING,https://www.aclweb.org/anthology/C18-1171.pdf,,,,,,,"Visualize: Figure 3.
Description: ""The predicted relations at each hop. Each row represents a probability distribution over relations. Darker color indicates larger probability. The terminal relation is highlighted in red.""",,,,,
Analysing the potential of seq-to-seq models for incremental interpretation in task-oriented dialogue,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5419.pdf,"Visualize: Figure2 & 3.
Description: "" Alignment of in- and output words via the attention for different models tested on bAbI+ data""
""A labelled example sentence to evaluate whether models have distinct representations for
reparanda, repairs, and editing terms""","Description: ""First, we probe the representations of the encoder part of the model while it
processes incoming sentences, for which we use
again diagnostic classifiers. """,,,,,,,,,,
Analysis methods in neural language processing: A survey,2019,TACL,https://arxiv.org/pdf/1812.08951.pdf,"Visualize: Figure1 & 2.
Description: "" A heatmap visualizing neuron activations. In this case, the activations capture position
in the sentence.""
""A visualization of attention weights,
showing soft alignment between source and target
sentences in an NMT model.""","Description: "". Section 5 deals with the generation
and use of adversarial examples to probe weaknesses of neural networks.""
""It is referred to by various names, including “auxiliary
prediction tasks” (Adi et al., 2017b), “diagnostic
classifiers” (Veldhoen et al., 2016), and “probing
tasks” (Conneau et al., 2018).""",,,,,,"Description: "" They contrasted such datasets with
test corpora, “whose main advantage is that they
reflect naturally occurring data.” This idea underlines much of the work on challenge sets and is
echoed in more recent work""",,,,
Analytical methods for interpretable ultradense word embeddings,2019,EMNLP,https://www.aclweb.org/anthology/D19-1111.pdf,,,,,,,"Description:  
""The objective is to find an orthogonal matrix Q ∈R d×d such that EQ is interpretable, i.e., the values of the first k dimensions correlate well with the linguistic feature""
""By rotating word spaces, interpretable dimensions can be identified while preserving the information contained in the embeddings without any loss. In this work, we investigate three methods for making word spaces interpretable by rotation: Densifier (Rothe et al., 2016), linear SVMs and DensRay, a new method we propose. """,,,,,
Analyzing the Structure of Attention in a Transformer Language Model,2019,BlackboxNLP,https://www.aclweb.org/anthology/W19-4808.pdf,"Visualize:  Figure 1 & 4 .
Description:  Attention in Transformer; Attention head view of GPT-2;

Visualize:  Figure 2.
Description: model view of GPT-2;

Visualize:  Figure 3.
Description: neuron view ;

Visualize:  Figure 5 & 6 & 10-12.
Description: Each heatmap shows the proportion of total attention

Visualize:  Table 1-3;
Description: word-level attention;",,,,,,,,,,,
Anchors: High-Precision Model-Agnostic Explanations,2018,AAAI,https://homes.cs.washington.edu/~marcotcr/aaai18.pdf,,,,,"Visualize: Figure1 & 2 & 3.
Description: ""We introduce a novel model-agnostic system that explains the behavior of complex models with high-precision rules called
anchors, representing local, “sufficient” conditions for predictions.""",,,,,,,
Are sixteen heads really better than one?,2019,NeuIPS,https://arxiv.org/pdf/1905.10650.pdf,"Description: ""Attention is a powerful and ubiquitous mechanism for allowing neural models to
focus on particular salient pieces of information by taking their weighted average
when making predictions. """,,,,,,,,,,,
Assessing social and intersectional biases in contextualized word representations,2019,NeuIPS,https://arxiv.org/pdf/1911.01485.pdf,,"Description: ""May et al. adopt the WEAT tests [5] into Sentence Encoder Association Tests (SEATs) to test biases
using sentence encodings. The embeddings used in the association tests are encodings of a sentence,
which are obtained by pooling per token contextual representations, or by using the representation
of the first or last token.""",,,,,,,,,,
Attention interpretability across nlp tasks,2019,Arxiv,https://arxiv.org/pdf/1909.11218.pdf,"Visualize: None;
Description: ""Attention Weights""",,,,,,,,,,,
Attention is not Explanation,2019,NAACL,https://arxiv.org/pdf/1902.10186.pdf,"Visualize: Figure 1
Description: ""Attention Weights / Distribution""",,,,,,,,,,,
Attention is not not Explanation,2019,EMNLP,https://www.aclweb.org/anthology/D19-1002.pdf,"Visualize: Figure 2
Description: Attention Distribution",,,,,,,,,,,
"AttentionMeSH: Simple, Effective and Interpretable Automatic MeSH Indexer",2018,Proceedings of the 6th BioASQ Workshop A challenge on large-scale biomedical semantic indexing and question answering,https://www.aclweb.org/anthology/W18-5306/,"Visualize: Figure4;
Description: 
""At inference time, attention matrix provides wordlevel interpretation: For each MeSH prediction,
the model shows which words are given high attention. It helps the indexers to evaluate and proofread the indexing results of our model. Figure 4
shows an example of attention for interpretation.""",,,,,,,,,,,
Auditing deep learning processes through kernel-based explanatory models.,2019,EMNLP-IJCNLP,https://www.aclweb.org/anthology/D19-1415.pdf,,,,,,,,"Visualize: Table1.
Description: ""Such connections then guide
the construction of argumentations on the network’s inferences, i.e., explanations based on real examples that are semantically related to
the input. """,,,,
Automatic rule extraction from long short term memory networks,2017,ICLR,https://arxiv.org/pdf/1702.02540.pdf,"Visualize: Table 5 & 6.
Description: "" Examples from Stanford sentiment treebank which are correctly labelled by our LSTM and
incorrectly labelled by our rules-based classifier. The matched pattern is highlighted""",,,,,,,,,,,
BERT Rediscovers the Classical NLP Pipeline,2019,ACL,https://www.aclweb.org/anthology/P19-1452.pdf,,"Description: ""Our experiments are based on the “edge probing” approach,  which aims to measure how well information about linguistic structure can be extracted from a pre-trained encoder.""

""We use eight labeling tasks from the edge
probing suite: part-of-speech (POS), constituents
(Consts.), dependencies (Deps.), entities, semantic role labeling (SRL), coreference (Coref.), semantic proto-roles (SPR; Reisinger et al., 2015), and relation classification (SemEval). """,,,,,,,,,,
Beyond Word Importance: Contextual Decomposition to Extract Interactions from LSTMs ,2018,ICLR,https://openreview.net/pdf?id=rkRwGg-0Z,"Visualize: Table 1 & 2.
Description: ""Heat maps for portion of yelp review with different attribution techniques. Only CD
captures that ”favorite” is positive.""",,,,,,,,,,,
Captum: A unified and generic model interpretability library for PyTorch,2020,Arxiv,https://arxiv.org/pdf/2009.07896.pdf,"Visualize: Figure 3.
Description: "": Visualizing salient tokens computed by integrated gradients that contribute to the predicted class using a binary classification model trained on IMDB dataset.""",,,,,,,,,,,
Chains-of-Reasoning at TextGraphs 2019 Shared Task: Reasoning over Chains of Facts for Explainable Multi-hop Inference,2019,EMNLP,https://www.aclweb.org/anthology/D19-5313.pdf,,,"Visualize: Figure1 & 2.
Description: ""A subgraph of facts from the WorldTree corpus that explains the answer to the question""",,,,,,,,,
CNM: An Interpretable Complex-valued Network for Matching,2019,NAACL,https://www.aclweb.org/anthology/N19-1420.pdf,"Visualize: Table 6 & 7 & 8.
Description: ""The matching patterns for specific sentence pairs in TREC QA. The darker the color, the bigger the word weight is. [ and ] denotes the possible border of the current sliding windows.""",,,,,,,,,,,
COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.731.pdf,,,"Visualize: Figure1 & 3.
Description: "" (a) The meaning of a sentence (right) is compositionally built up from the meanings of its parts, in accordance with its structure (left). (b) Interpreting a
familiar word in a structure it has not appeared in before""",,,,,,,,,
Cold-Start and Interpretability: Turning Regular Expressions into Trainable Recurrent Neural Networks,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.258.pdf,,,,,"Visualize: Table 1, Figure 4.
Description: ""RE for matching sentences asking about distance, and a matched sentence. ""
""Part of an original RE and a reconstructed RE corresponding to label [aircraft].""",,,,,,,
Comparing Automatic and Human Evaluation of Local Explanations for Text Classification,2018,NAACL,https://www.aclweb.org/anthology/N18-1097.pdf,"Visualize: Figure1.
Description: ""We focus on explanations based on
saliency scores on the movie dataset.""
"" we focus on local explanation approaches that identify the most influential parts of the input for a particular prediction. """,,,,,,,,,,,
Compositional Explanations of Neurons,2020,NeuIPS,https://arxiv.org/pdf/2006.14032.pdf,,,,,,,"Visualize: Figure 1 & 2 & 4 & 5 & 8.
Description: ""We describe a procedure for explaining neurons in deep representations by identifying compositional logical concepts that closely approximate neuron behavior.""",,,,,
Constructing Interpretive Spatio-Temporal Features for Multi-Turn Responses Selection,2019,ACL,https://www.aclweb.org/anthology/P19-1006.pdf,"Visualize: Figure1.
Description: ""Examples of the Ubuntu dataset provided by
NOESIS 1. Text segments with the same color symbols
across context and response can be seen as matched
pairs.""",,,,,,,,,,,
Deconfounded lexicon induction for interpretable social science,2018,NAACL,https://www.aclweb.org/anthology/N18-1146.pdf,"Visualize: Table 1 & 2.
Description: ""The ten highest-scoring words in lexicons generated by Adversarial + ATTN (A+ATTN), Regression
(R), and Log-Odds Ratio (OR).""",,,,,,,,,,,
Deconfounded Lexicon Induction for Interpretable Social Science,2018,NAACL,https://www.aclweb.org/anthology/N18-1146.pdf,,,,,,,"Visualize: Table 1 & 2;
Description: ""We formalize this need as
a new task: inducing a lexicon that is predictive of a set of target variables yet uncorrelated to a set of confounding variables.""
""The ten highest-scoring words in lexicons generated by Deep Residualization + BOW (DR+BOW),
Mutual Information (MI), Residialized Regression (RR), and regression (R).""",,,,,
Designing and Interpreting Probes with Control Tasks,2019,EMNLP,https://arxiv.org/pdf/1909.03368.pdf,,"Visualize: Figure1.
Description: ""Our control tasks define random behavior (like
a random output, top) for each word type in the vocabulary.
Each word token is assigned its type’s output, regardless of
context (middle, bottom.) Control tasks have the same input
and output space as a linguistic task (e.g., parts-of-speech) but
can only be learned if the probe memorizes the mapping.""","Visualize: Figure3.
Description: "" Example dependency tree from the development set of the Penn Treebank with dependents pointing at heads, and the structure resulting from our dependency edge prediction control task on the same sentence""",,,,,,,,,
Detecting and Explaining Causes From Text For a Time Series Event,2017,EMNLP,https://arxiv.org/pdf/1707.08852.pdf,,,"Visualize: Table 1 & 2.
Description: "" The generation of the sequence of causal entities requires a commonsense causative knowledge base with
efficient reasoning. To ensure good interpretability and appropriate lexical usage
we combine symbolic and neural representations, using a neural reasoning algorithm trained on commonsense causal tuples to predict the next cause step. """,,,,,,,,,
Detecting Linguistic Characteristics of Alzheimer’s Dementia by Interpreting Neural Models,2018,NAACL,https://www.aclweb.org/anthology/N18-2110.pdf,"Visualize: Figure3.
Description: ""More importantly, we next interpret what these neural models
have learned about the linguistic characteristics of AD patients, via analysis based on activation clustering and first-derivative saliency
techniques.""",,,"Description: ""More importantly,
we next interpret what these neural models
have learned about the linguistic characteristics of AD patients, via analysis based on activation clustering and first-derivative saliency
techniques.""",,,,,,,,
Did the Model Understand the Question?,2018,ACL,https://arxiv.org/pdf/1805.05492.pdf,"Visualize: Figure1 & 3. Table 4.
Description: ""Visualization of attributions (word importances) for a question that the network gets right. """,,,,,,,,,,,
Dissonance Between Human and Machine Understanding,2019,CSCW,http://www.l3s.de/~gadiraju/publications/CSCW2019.pdf,,,,,,,,,,,,
Do Human Rationales Improve Machine Explanations?,2019,BlackboxNLP,https://www.aclweb.org/anthology/W19-4807.pdf,"Visualize: Table2.
Description: ""we show that learning with rationales can also improve
the quality of the machine’s explanations as
evaluated by human judges.""

"" for CNNbased text classification, explanations generated using “supervised attention” are judged superior to explanations generated using normal unsupervised attention.""",,,,,,,,,,,
Do Multi-hop Readers Dream of Reasoning Chains?,2019,ACL,https://arxiv.org/pdf/1910.14520.pdf,,,"Description: ""our analysis investigates that whether providing the full reasoning
chain of multiple passages, instead of just one
final passage where the answer appears, could
improve the performance of the existing QA
models.""",,,,,,,,,
Do Neural Dialog Systems Use the Conversation History Effectively? An Empirical Study,2019,ACL,https://arxiv.org/pdf/1906.01603.pdf,,,,,,,,,"Dialog history perturbation
Description: ""we take an empirical approach to understanding how these models use the available dialog history by studying the sensitivity of the models to artificially introduced unnatural changes or perturbations
to their context at test time""",,,
Does it care what you asked? Understanding Importance of Verbs in Deep Learning QA System,2018,BlackboxNLP,https://arxiv.org/pdf/1809.03740.pdf,"Visualize: Figure1.
Description: ""Visualization of values in LSTM hidden layers for a noun (top), verb (middle) and question mark
(bottom). """,,,,,,,,,,,
Does String-Based Neural MT Learn Source Syntax?,2016,EMNLP,https://www.isi.edu/natural-language/mt/emnlp16-nmt-grammar.pdf,,,,,"Visualize: Figure1 & 2 & 6.
Description: ""A fine-grained analysis of the syntactic structure learned by the
encoder reveals which kinds of syntax are learned and which are missing.""",,,,,,,
Does String-Based Neural MT Learn Source Syntax?,2016,EMNLP,https://www.aclweb.org/anthology/D16-1159.pdf,,,"Visualize: Figure 1 & 2 & 6.
Description: ""We extract the whole constituency tree of
source sentence from the NMT encoding vectors using a retrained linearized-tree decoder. A deep analysis on these parse trees indicates that much syntactic information is learned, while
various types of syntactic information are still
missing.""",,,,,,,,,
DTCA: Decision Tree-based Co-Attention Networks for Explainable Claim Verification,2020,ACL,https://arxiv.org/pdf/2004.13455.pdf,"Visualize: Figure4.
Description: ""The visualization of a sample (labeled false) in PHEME by DTCA, where the captured evidence (red arrows) and the specific values of decision conditions (blue) are presented by DTE, and the attention of different words (red shades) is obtained by CaSa.""",,"Visualize: Figure 2 & 4.
Description: ""Overview of DTE. DTE consists of two parts: tree comment network (the left) and decision tree model (the right), which is used to evaluate the credibility of each node in the tree comment network for discovering evidence.""",,,,,,,,,
e-snli: Natural language inference with natural language explanations,2018,NeuIPS,https://arxiv.org/pdf/1812.01193.pdf,"Visualize: Figure 1.
Description: "": Examples from e-SNLI. Annotators were given the premise, hypothesis, and label. They
highlighted the words that they considered essential for the label and provided the explanations.""",,,,,"Visualize: Figure 1.
Description: "": Examples from e-SNLI. Annotators were given the premise, hypothesis, and label. They
highlighted the words that they considered essential for the label and provided the explanations.""",,,,,,
EditNTS: An Neural Programmer-Interpreter Model for Sentence Simplification through Explicit Editing,2019,ACL,https://www.aclweb.org/anthology/P19-1331.pdf,"Visualize: Table1.
Description: ""Example outputs of EditNTS taken from the validation set of three text simplification benchmarks. Given
a complex source sentence, our trained model predicts a sequence of edit tokens (EditNTS programs) that executes
into a sequence of simplified tokens (EditNTS output).""",,,,"Visualize: Table1.
Description: ""We present the first sentence simplification
model that learns explicit edit operations
(ADD, DELETE, and KEEP) via a neural
programmer-interpreter approach.""",,,,,,,
Educe: Explaining model decisions through unsupervised concepts extraction,2019,Arxiv,https://arxiv.org/pdf/1905.11852.pdf,,,,,,,"Visualize: Figure1 & 3.
Description: "" Interpretation of EDUCE prediction through concept analysis.""",,,,,
Ensembling Visual Explanations for VQA,2017,Proceedings of the NIPS 2017 workshop on Visually-Grounded Interaction and Language (ViGIL),https://www.cs.utexas.edu/~ml/papers/rajani.vigil17.pdf,"Visualize: Figure 1 & 2.
Description: ""In this paper, we propose different methods for ensembling visual
explanations for VQA using the localization maps of the component systems. Our
crowd-sourced human evaluation indicates that our ensemble visual explanation
is superior to each of the individual system’s visual explanation""",,,,,,,,,,,
Eraser: A benchmark to evaluate rationalized nlp models,2020,ACL,https://arxiv.org/pdf/1911.03429.pdf,"Visualize: Figure 1.
Description: "" Examples of instances, labels, and rationales
illustrative of four (out of seven) datasets included in
ERASER. The ‘erased’ snippets are rationales""",,,,,,,,,,,
Evaluating and Characterizing Human Rationales,2020,EMNLP,https://arxiv.org/pdf/2010.04736.pdf,"Visualize: Figure1.
Description: ""Example rationales drawn from various datasets. Underlined tokens are rationales provided by humans. Human annotators can fail to produce faithful rationales (row 1 and 2), and fidelity metrics themselves can be misleading (row 3 and 4).""",,,,,,,,,,,
Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.491.pdf,,,,,Visualize: Figure2 - Anchor.,,,Visualize: Figure2 - Prototype;,,,,"Confidence Score/Probability:
Visualize: Figure2 (Decision Boundary & LIME);
Description: ""


"
Evaluating neural network explanation methods using hybrid documents and morphosyntactic agreement,2018,ACL,https://www.aclweb.org/anthology/P18-1032.pdf,"Visualize: Figure 1 & 2 & 3.
Description: ""Top: sci.electronics post (not hybrid). Underlined: Manual relevance ground truth.
Green: evidence for sci.electronics. Task method: CNN. Bottom: hybrid newsgroup post, classified
talk.politics.mideast. Green: evidence for talk.politics.mideast. Underlined: talk.politics.mideast fragment. Task method: QGRU. Italics: OOV. Bold: rmax position. """,,,,,,,,,,,
exbert: A visual analysis tool to explore learned representations in transformers models,2020,ACL,https://arxiv.org/pdf/1910.05276.pdf,"Visualize: Figure 1 & 3.
Description: ""Users can enter a sentence in (a) and modify the attention view through selections in (b). Self
attention is displayed in (c). The blue matrices show the attention of a head (column) to a token (row).""",,,,"Visualize: Figure 1 & 2.
Description: ""Every token in (d) displays its linguistic metadata on hover""",,,"Visualize: Figure 1.
Description: ""Tokens and heads that are selected in (c) can be searched over the annotated corpus (shown: Wizard of Oz) with results presented in (d). """,,,,"Precition Confidence
Visualize: Figure1.
Description: ""The histograms in (f) and (g) summarize the
metadata of the results in (d) for the matched token and the token of max attention, respectively"""
ExpBERT: Representation Engineering with Natural Language Explanations,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.190.pdf,,,,,"Visualize: Figure1;
Description: ""We then use these features to
augment the input representation. Just as a semantic parser grounds an explanation by converting it into a logical form and then executing it, the features produced by BERT can be seen as a soft “execution” of the explanation on the input.""",,,,,,,
Explain Yourself! Leveraging Language Models for Commonsense Reasoning,2019,ACL,https://arxiv.org/pdf/1906.02361.pdf,,,,,,"Visualize: Table1 & 7.
Description: ""We collect human explanations for commonsense reasoning in the form of natural language sequences and highlighted annotations in a new dataset called Common Sense Explanations (CoS-E). We use CoS-E to train language models to automatically generate explanations that can be used during training and inference in a novel Commonsense Auto-Generated Explanation (CAGE) framework.""",,,,,,
Explainable Active Learning (XAL): An Empirical Study of How Local Explanations Impact Annotator Experience,2020,CSCW,https://arxiv.org/pdf/2001.09219.pdf,"Visualize: Figure1.
Description: ""Our study explores how people naturally want to teach a model with a local-feature-importance visualization,
a popular and generalizable form of explanation.""",,,,,,,,,,,
Explainable Automated Fact-Checking for Public Health Claims,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.623.pdf,,,,,,"Visualize: Table1, Figure 2 & 3.
Description: ""Example of model-generated explanations as
compared to the gold standard from our fact-checking
dataset.""",,,,,,
Explainable Clinical Decision Support from Text,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.115.pdf,"Visualize: Figure 4.
Description: ""We propose a hierarchical CNNtransformer model with explicit attention as
an interpretable, multi-task clinical language model,""
"": Example attention distribution over sentences in one patient document.""",,,,,,,,,,,
Explainable Prediction of Medical Codes from Clinical Text,2018,NAACL,https://arxiv.org/pdf/1802.05695.pdf,"Visualize: Table1.
Description: ""Our method aggregates information across the document using a convolutional neural network, and uses an attention mechanism to select the
most relevant segments for each of the thousands of possible codes.""
"" Presentation of example qualitative evaluations. In real evaluation, system names generating the 4-gram are not given.""",,,,,,,,,,,
Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.492.pdf,,,,,,,,"Visualize: Figure1, Table5.
Description: ""Note that this example is classified incorrectly by the model. Positive saliency tokens and highly influential examples may suggest why the model makes the wrong decision; tokens and examples with negative saliency or influence scores may decrease the model’s confidence in making that decision.""",,,,
Explaining Character-Aware Neural Networks for Word-Level Prediction: Do They Discover Linguistic Rules?,2018,EMNLP,https://www.aclweb.org/anthology/D18-1365.pdf,"Visualize: Figure1 & 4 & 5.
Description: "" Individual character contributions of the
Spanish adjective económicas.""
""Character-level contributions for predicting a particular class.""",,,,,,,,,,,
Explaining non-linear Classifier Decisions within Kernel-based Deep Architectures,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5403.pdf,,,,,,,,"Description: 
"" each decision provided by a KDA can be linked to
real examples, linguistically related to the input instance: these can be used to motivate the
network output.""
""An explanatory model is then a function
M(e,Lk) which maps an explanation e, a sub set
Lk of the active and consistent landmarks L for e
into a sentence f in natural language. Of course
several definitions for M(e,Lk) are possible""",,,,
Explaining Simple Natural Language Inference,2019,ACL,https://www.aclweb.org/anthology/W19-4016.pdf,,,,,,"Description: ""Particularly, we discuss the benefits of justifications of the annotation
decisions.""",,,,,,
Explaining the Stars: Weighted Multiple-Instance Learning for Aspect-Based Sentiment Analysis,2014,EMNLP,https://www.aclweb.org/anthology/D14-1052.pdf,,,,,,,,"Visualize: Table 4.
Description: ""Predicted sentiment for TED comments:
yi is the actual sentiment, yˆi
the predicted one, and
ψˆi the estimated relevance of each sentence.""",,"Word Cloud
Visualize: Figure5.
Description: ""Top words based on Φ for predicting four emotions from comments on TED talks.""
",,
Exploiting Structure in Representation of Named Entities using Active Learning,2018,COLING,https://www.aclweb.org/anthology/C18-1058.pdf,,,,,"Visualize: Table 1 & 6.
Description: ""entities have underlying structures, typically shared by entities of the same entity type, that can help reason over their name variations.""
""We show that programs for mapping entity mentions to their structures can
be automatically generated using human-comprehensible labels.""",,,,,,,
"Explore, Propose, and Assemble: An Interpretable Model for Multi-Hop Reading Comprehension",2019,ACL,https://arxiv.org/pdf/1906.05210.pdf,,,"Visualize: Figure 1 & 3.
Description: "": Two examples from the QAngaroo WikiHop dataset where it is necessary to combine information spread across multiple documents to infer the correct answer.""
"" A ‘reasoning tree’ with 4 leaves that lead to
different answers (marked in bold). The ground-truth
answer is marked in red additionally.""",,,,,,,,,
Exploring Interpretability in Event Extraction: Multitask Learning of a Neural Event Classifier and an Explanation Decoder,2020,ACL,https://www.aclweb.org/anthology/2020.acl-srw.23.pdf,,,,,"Visualize: Figure1. Table3.
Description: ""An example of an event extraction rule in
the Odin language that extracts phosphorylation events
driven by a nominal trigger (“phosphorylation”)""
"" Examples of mistakes in the decoded rules. The first column shows hand-written rules, while the second shows the rules decoded by our approach from sentences where the corresponding hand-written rules matched.""",,,,,,,
F1 is Not Enough! Models and Evaluation Towards User-Centered Explainable Question Answering,2020,EMNLP,https://arxiv.org/pdf/2010.06283.pdf,,,,,,"Visualize: Figure1.
Description: "" Example output of a representative XQA system (Yang et al., 2018) that would receive an answer-F1
of 1 and an explanation-F1 of 0.5 although the explanation provides no value to the user since the actual answer evidence (shown in cloud) is not included in the explanation (asterisks mark ground truth explanation).""",,,,,,
FIND: Human-in-the-Loop Debugging Deep Text Classifiers,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.24.pdf,,,,,,,,,,"Word Cloud
Visualize: Figure 2 & 3 & 5.
Description: ""A word cloud (or, literally, an n-gram cloud) of a feature from a CNN.""
""Examples of word clouds of CNN features in
ranks A, B, and C""",,
